iteration,Cooperate,Defect,TitForTat
1,378,1782,340
2,376,1773,351
3,378,1766,356
4,382,1747,371
5,396,1725,379
6,391,1715,394
7,389,1723,388
8,394,1718,388
9,401,1714,385
10,403,1707,390
11,397,1704,399
12,399,1711,390
13,386,1715,399
14,386,1717,397
15,388,1722,390
16,397,1720,383
17,396,1717,387
18,403,1704,393
19,402,1707,391
20,400,1708,392
21,401,1722,377
22,403,1724,373
23,396,1733,371
24,391,1734,375
25,386,1734,380
26,391,1727,382
27,389,1732,379
28,406,1716,378
29,400,1726,374
30,409,1710,381
31,413,1695,392
32,410,1693,397
33,415,1682,403
34,416,1686,398
35,415,1686,399
36,410,1690,400
37,417,1675,408
38,431,1664,405
39,431,1665,404
40,430,1662,408
41,429,1669,402
42,430,1670,400
43,428,1672,400
44,423,1680,397
45,428,1684,388
46,420,1688,392
47,411,1700,389
48,414,1703,383
49,411,1700,389
50,413,1694,393
51,417,1685,398
52,413,1690,397
53,410,1688,402
54,420,1686,394
55,423,1682,395
56,424,1686,390
57,422,1679,399
58,421,1677,402
59,423,1670,407
60,426,1658,416
61,430,1656,414
62,429,1656,415
63,424,1658,418
64,428,1650,422
65,431,1645,424
66,430,1642,428
67,441,1631,428
68,429,1640,431
69,427,1636,437
70,416,1647,437
71,424,1636,440
