iteration,Defect,Cooperate,TitForTat
0,1082,724,694
1,1068,740,692
2,1044,758,698
3,1058,739,703
4,1040,772,688
5,1015,791,694
6,1025,760,715
7,999,777,724
8,987,774,739
9,1022,765,713
10,1033,744,723
11,1064,723,713
12,1052,715,733
13,1045,700,755
14,1039,706,755
15,1026,693,781
16,1054,687,759
17,1047,707,746
18,1068,717,715
19,1050,727,723
20,1034,733,733
21,1051,735,714
22,1025,737,738
23,1031,706,763
24,1020,737,743
25,1060,712,728
26,1054,763,683
27,1053,755,692
28,1044,799,657
29,1062,755,683
30,1043,770,687
31,1069,756,675
32,1103,750,647
33,1096,750,654
34,1084,779,637
35,1087,768,645
36,1099,771,630
37,1111,751,638
38,1099,739,662
39,1135,731,634
40,1143,706,651
41,1133,681,686
42,1112,686,702
43,1102,690,708
44,1091,714,695
45,1050,729,721
46,1071,737,692
47,1025,751,724
48,1029,725,746
49,1017,760,723
50,1006,757,737
51,999,756,745
52,992,765,743
53,986,762,752
54,992,744,764
55,996,748,756
56,1004,746,750
57,960,751,789
58,974,738,788
59,996,707,797
60,985,726,789
61,992,713,795
62,996,701,803
63,1001,704,795
64,993,711,796
65,985,725,790
66,1002,732,766
67,1021,710,769
68,1003,741,756
69,1010,702,788
70,1006,699,795
71,994,699,807
72,981,688,831
73,962,668,870
74,977,656,867
75,969,653,878
76,993,641,866
77,1005,610,885
78,1029,592,879
79,1054,595,851
80,1049,602,849
81,1042,575,883
82,1059,556,885
83,1034,563,903
84,1070,570,860
85,1049,565,886
86,1075,576,849
87,1054,560,886
88,1062,555,883
89,1091,552,857
90,1094,543,863
91,1110,531,859
92,1104,537,859
93,1099,522,879
94,1128,527,845
95,1102,555,843
96,1113,573,814
97,1132,558,810
98,1123,529,848
99,1151,534,815
