iteration,Defect,TitForTat,Cooperate
0,1020,746,734
1,1035,747,718
2,1039,721,740
3,1011,763,726
4,987,783,730
5,975,805,720
6,964,819,717
7,987,813,700
8,936,856,708
9,935,878,687
10,939,861,700
11,885,877,738
12,890,875,735
13,922,852,726
14,946,870,684
15,942,862,696
16,903,885,712
17,887,901,712
18,837,963,700
19,861,974,665
20,869,975,656
21,843,1016,641
22,835,1009,656
23,825,1003,672
24,803,1002,695
25,808,1010,682
26,783,1026,691
27,814,1015,671
28,814,1028,658
29,826,1020,654
30,828,1022,650
31,795,1068,637
32,749,1080,671
33,757,1084,659
34,764,1053,683
35,749,1079,672
36,754,1069,677
37,755,1066,679
38,756,1074,670
39,758,1066,676
40,774,1075,651
41,758,1088,654
42,747,1097,656
43,770,1050,680
44,775,1054,671
45,759,1035,706
46,765,1019,716
47,793,988,719
48,794,984,722
49,771,981,748
50,785,938,777
51,801,930,769
52,810,918,772
53,785,918,797
54,777,902,821
55,769,905,826
56,797,897,806
57,766,916,818
58,748,930,822
59,741,910,849
60,729,912,859
61,740,912,848
62,756,917,827
63,744,935,821
64,744,927,829
65,777,897,826
66,806,880,814
67,800,857,843
68,802,854,844
69,822,837,841
70,817,845,838
71,837,822,841
72,828,827,845
73,819,828,853
74,804,815,881
75,758,807,935
76,739,824,937
77,775,778,947
78,796,753,951
79,779,777,944
80,781,761,958
81,788,763,949
82,768,783,949
83,771,786,943
84,762,797,941
85,755,796,949
86,744,824,932
87,739,833,928
88,751,822,927
89,755,816,929
90,766,803,931
91,766,778,956
92,765,764,971
93,821,738,941
94,849,731,920
95,853,734,913
96,866,751,883
97,866,788,846
98,852,810,838
99,862,803,835
