iteration,Cooperate,Defect,TitForTat
0,477,1408,615
1,300,1756,444
2,241,1918,341
3,209,2007,284
4,188,2022,290
5,183,2034,283
6,172,2042,286
7,188,2014,298
8,212,1984,304
9,222,1959,319
10,243,1937,320
11,244,1909,347
12,251,1901,348
13,271,1874,355
14,273,1853,374
15,264,1856,380
16,277,1821,402
17,278,1792,430
18,271,1773,456
19,274,1749,477
20,278,1745,477
21,283,1727,490
22,287,1726,487
23,289,1728,483
24,299,1708,493
25,309,1677,514
26,317,1668,515
27,322,1658,520
28,329,1636,535
29,324,1641,535
30,327,1636,537
31,317,1644,539
32,306,1641,553
33,311,1631,558
34,314,1630,556
35,320,1602,578
36,314,1597,589
37,306,1579,615
38,308,1583,609
39,302,1584,614
40,311,1580,609
41,321,1585,594
42,338,1549,613
43,337,1541,622
44,346,1532,622
45,345,1511,644
46,343,1508,649
47,343,1510,647
48,342,1513,645
49,353,1511,636
50,369,1491,640
51,381,1478,641
52,383,1475,642
53,387,1463,650
54,389,1457,654
55,396,1448,656
56,399,1446,655
57,398,1446,656
58,410,1429,661
59,409,1425,666
60,412,1415,673
61,426,1397,677
62,428,1400,672
63,424,1394,682
64,431,1382,687
65,441,1371,688
66,441,1375,684
67,433,1375,692
68,429,1380,691
69,427,1382,691
70,419,1396,685
71,424,1399,677
72,434,1389,677
73,442,1363,695
74,448,1345,707
75,450,1342,708
76,450,1334,716
77,449,1341,710
78,450,1331,719
79,443,1331,726
80,442,1324,734
81,439,1317,744
82,441,1309,750
83,439,1304,757
84,427,1309,764
85,418,1320,762
86,422,1311,767
87,409,1328,763
88,403,1345,752
89,403,1355,742
90,401,1359,740
91,394,1373,733
92,392,1389,719
93,390,1380,730
94,390,1372,738
95,385,1366,749
96,385,1363,752
97,384,1361,755
98,381,1366,753
99,383,1363,754
